dataset,doc_id,sent_id,this_sent,last_sent,this_sent_tokens,last_sent_tokens,act_idx,obj_idxs,act_type,related_acts,action_annotations,group,label_correctness,error_type,sub_error_type,comment
cooking,36,0,By having meals such as soup prepared with carrots you can be able to prevent many cardiovascular diseases and cancers,Beta carotene is what gives a carrot its color,"['By', 'having', 'meals', 'such', 'as', 'soup', 'prepared', 'with', 'carrots', 'you', 'can', 'be', 'able', 'to', 'prevent', 'many', 'cardiovascular', 'diseases', 'and', 'cancers']","['Beta', 'carotene', 'is', 'what', 'gives', 'a', 'carrot', 'its', 'color']",15,"[[17], []]",1,[],prepared (carrots),B,1,extra arguments,preposition arguments,
cooking,36,0,By having meals such as soup prepared with carrots you can be able to prevent many cardiovascular diseases and cancers,Beta carotene is what gives a carrot its color,"['By', 'having', 'meals', 'such', 'as', 'soup', 'prepared', 'with', 'carrots', 'you', 'can', 'be', 'able', 'to', 'prevent', 'many', 'cardiovascular', 'diseases', 'and', 'cancers']","['Beta', 'carotene', 'is', 'what', 'gives', 'a', 'carrot', 'its', 'color']",23,"[[26, 28], []]",1,[],"prevent (diseases,cancers)",B,1,,,
cooking,36,1,You will also be able to develop a good vision for your eyes,By having meals such as soup prepared with carrots you can be able to prevent many cardiovascular diseases and cancers,"['You', 'will', 'also', 'be', 'able', 'to', 'develop', 'a', 'good', 'vision', 'for', 'your', 'eyes']","['By', 'having', 'meals', 'such', 'as', 'soup', 'prepared', 'with', 'carrots', 'you', 'can', 'be', 'able', 'to', 'prevent', 'many', 'cardiovascular', 'diseases', 'and', 'cancers']",26,"[[29], []]",1,[],develop (vision),B,1,,,
cooking,36,3,Follow these simple steps and serve this healthy dish for your family,Carrot soup is a perfect dish to add flavor to this very healthy vegetable,"['Follow', 'these', 'simple', 'steps', 'and', 'serve', 'this', 'healthy', 'dish', 'for', 'your', 'family']","['Carrot', 'soup', 'is', 'a', 'perfect', 'dish', 'to', 'add', 'flavor', 'to', 'this', 'very', 'healthy', 'vegetable']",14,"[[17], []]",1,[],Follow (steps),B,1,,,
cooking,36,3,Follow these simple steps and serve this healthy dish for your family,Carrot soup is a perfect dish to add flavor to this very healthy vegetable,"['Follow', 'these', 'simple', 'steps', 'and', 'serve', 'this', 'healthy', 'dish', 'for', 'your', 'family']","['Carrot', 'soup', 'is', 'a', 'perfect', 'dish', 'to', 'add', 'flavor', 'to', 'this', 'very', 'healthy', 'vegetable']",19,"[[22], []]",1,[],serve (dish),B,1,,,
cooking,36,4,Peel the carrots and clean them in cold or normal water and slice them any way you want the soup is going to be pureed anyway.,Follow these simple steps and serve this healthy dish for your family,"['Peel', 'the', 'carrots', 'and', 'clean', 'them', 'in', 'cold', 'or', 'normal', 'water', 'and', 'slice', 'them', 'any', 'way', 'you', 'want', 'the', 'soup', 'is', 'going', 'to', 'be', 'pureed', 'anyway.']","['Follow', 'these', 'simple', 'steps', 'and', 'serve', 'this', 'healthy', 'dish', 'for', 'your', 'family']",12,"[[14], []]",1,[],Peel (carrots),B,1,,,
cooking,36,4,Peel the carrots and clean them in cold or normal water and slice them any way you want the soup is going to be pureed anyway.,Follow these simple steps and serve this healthy dish for your family,"['Peel', 'the', 'carrots', 'and', 'clean', 'them', 'in', 'cold', 'or', 'normal', 'water', 'and', 'slice', 'them', 'any', 'way', 'you', 'want', 'the', 'soup', 'is', 'going', 'to', 'be', 'pureed', 'anyway.']","['Follow', 'these', 'simple', 'steps', 'and', 'serve', 'this', 'healthy', 'dish', 'for', 'your', 'family']",16,"[[14], []]",1,[],clean (carrots),B,1,,,
cooking,36,4,Peel the carrots and clean them in cold or normal water and slice them any way you want the soup is going to be pureed anyway.,Follow these simple steps and serve this healthy dish for your family,"['Peel', 'the', 'carrots', 'and', 'clean', 'them', 'in', 'cold', 'or', 'normal', 'water', 'and', 'slice', 'them', 'any', 'way', 'you', 'want', 'the', 'soup', 'is', 'going', 'to', 'be', 'pureed', 'anyway.']","['Follow', 'these', 'simple', 'steps', 'and', 'serve', 'this', 'healthy', 'dish', 'for', 'your', 'family']",24,"[[14], []]",1,[],slice (carrots),B,2,missing action,,
cooking,36,5,Peel potatoes and cut into pieces about the same size of the carrots,Peel the carrots and clean them in cold or normal water and slice them any way you want the soup is going to be pureed anyway,"['Peel', 'potatoes', 'and', 'cut', 'into', 'pieces', 'about', 'the', 'same', 'size', 'of', 'the', 'carrots']","['Peel', 'the', 'carrots', 'and', 'clean', 'them', 'in', 'cold', 'or', 'normal', 'water', 'and', 'slice', 'them', 'any', 'way', 'you', 'want', 'the', 'soup', 'is', 'going', 'to', 'be', 'pureed', 'anyway']",26,"[[27], []]",1,[],Peel (potatoes),B,1,,,
cooking,36,5,Peel potatoes and cut into pieces about the same size of the carrots,Peel the carrots and clean them in cold or normal water and slice them any way you want the soup is going to be pureed anyway,"['Peel', 'potatoes', 'and', 'cut', 'into', 'pieces', 'about', 'the', 'same', 'size', 'of', 'the', 'carrots']","['Peel', 'the', 'carrots', 'and', 'clean', 'them', 'in', 'cold', 'or', 'normal', 'water', 'and', 'slice', 'them', 'any', 'way', 'you', 'want', 'the', 'soup', 'is', 'going', 'to', 'be', 'pureed', 'anyway']",29,"[[27], []]",1,[],cut (potatoes),B,1,,,
cooking,36,6,Heat butter in a heavy bottom soup pot over medium heat,Peel potatoes and cut into pieces about the same size of the carrots,"['Heat', 'butter', 'in', 'a', 'heavy', 'bottom', 'soup', 'pot', 'over', 'medium', 'heat']","['Peel', 'potatoes', 'and', 'cut', 'into', 'pieces', 'about', 'the', 'same', 'size', 'of', 'the', 'carrots']",13,"[[14], []]",1,[],Heat (butter),B,1,,,
cooking,36,7,Saute onion until it becomes soft and translucent,Heat butter in a heavy bottom soup pot over medium heat,"['Saute', 'onion', 'until', 'it', 'becomes', 'soft', 'and', 'translucent']","['Heat', 'butter', 'in', 'a', 'heavy', 'bottom', 'soup', 'pot', 'over', 'medium', 'heat']",11,"[[12], []]",1,[],Saute (onion),B,1,,,
cooking,36,8,Add in garlic and carrots and stir occasionally for about 2 to 3 minutes,Saute onion until it becomes soft and translucent,"['Add', 'in', 'garlic', 'and', 'carrots', 'and', 'stir', 'occasionally', 'for', 'about', '2', 'to', '3', 'minutes']","['Saute', 'onion', 'until', 'it', 'becomes', 'soft', 'and', 'translucent']",8,"[[10, 12], []]",1,[],"Add (garlic,carrots)",B,1,,,
cooking,36,8,Add in garlic and carrots and stir occasionally for about 2 to 3 minutes,Saute onion until it becomes soft and translucent,"['Add', 'in', 'garlic', 'and', 'carrots', 'and', 'stir', 'occasionally', 'for', 'about', '2', 'to', '3', 'minutes']","['Saute', 'onion', 'until', 'it', 'becomes', 'soft', 'and', 'translucent']",14,"[[-1], []]",1,[],stir (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,9,Add white wine and cook for another 2 to 3 minutes or until the wine seems to be reduced by half,Add in garlic and carrots and stir occasionally for about 2 to 3 minutes,"['Add', 'white', 'wine', 'and', 'cook', 'for', 'another', '2', 'to', '3', 'minutes', 'or', 'until', 'the', 'wine', 'seems', 'to', 'be', 'reduced', 'by', 'half']","['Add', 'in', 'garlic', 'and', 'carrots', 'and', 'stir', 'occasionally', 'for', 'about', '2', 'to', '3', 'minutes']",14,"[[16], []]",1,[],Add (wine),B,1,,,
cooking,36,9,Add white wine and cook for another 2 to 3 minutes or until the wine seems to be reduced by half,Add in garlic and carrots and stir occasionally for about 2 to 3 minutes,"['Add', 'white', 'wine', 'and', 'cook', 'for', 'another', '2', 'to', '3', 'minutes', 'or', 'until', 'the', 'wine', 'seems', 'to', 'be', 'reduced', 'by', 'half']","['Add', 'in', 'garlic', 'and', 'carrots', 'and', 'stir', 'occasionally', 'for', 'about', '2', 'to', '3', 'minutes']",18,"[[-1], []]",1,[],cook (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,10,Add the potatoes and vegetable broth or stock,Add white wine and cook for another 2 to 3 minutes or until the wine seems to be reduced by half,"['Add', 'the', 'potatoes', 'and', 'vegetable', 'broth', 'or', 'stock']","['Add', 'white', 'wine', 'and', 'cook', 'for', 'another', '2', 'to', '3', 'minutes', 'or', 'until', 'the', 'wine', 'seems', 'to', 'be', 'reduced', 'by', 'half']",21,"[[23, 25, 26, 28], []]",1,[],"Add (potatoes,vegetable,broth,stock)",B,0,extra arguments,unnecessary head word,
cooking,36,11,Bring to a boil increasing the heat to medium high,Add the potatoes and vegetable broth or stock,"['Bring', 'to', 'a', 'boil', 'increasing', 'the', 'heat', 'to', 'medium', 'high']","['Add', 'the', 'potatoes', 'and', 'vegetable', 'broth', 'or', 'stock']",8,"[[11], []]",1,[],Bring (boil),B,2,wrong action,,
cooking,36,11,Bring to a boil increasing the heat to medium high,Add the potatoes and vegetable broth or stock,"['Bring', 'to', 'a', 'boil', 'increasing', 'the', 'heat', 'to', 'medium', 'high']","['Add', 'the', 'potatoes', 'and', 'vegetable', 'broth', 'or', 'stock']",12,"[[14], []]",1,[],increasing (heat),B,1,,,
cooking,36,12,Season with salt if necessary,Bring to a boil increasing the heat to medium high,"['Season', 'with', 'salt', 'if', 'necessary']","['Bring', 'to', 'a', 'boil', 'increasing', 'the', 'heat', 'to', 'medium', 'high']",10,"[[12], []]",2,[],Season (salt),B,2,"missing arguments, extra arguments","missing valid argument, preposition arguments",
cooking,36,13,Reduce heat and let it simmer partially uncovered for 15 minutes or until the carrots and are soft and tender,Season with salt if necessary,"['Reduce', 'heat', 'and', 'let', 'it', 'simmer', 'partially', 'uncovered', 'for', '15', 'minutes', 'or', 'until', 'the', 'carrots', 'and', 'are', 'soft', 'and', 'tender']","['Season', 'with', 'salt', 'if', 'necessary']",5,"[[6], []]",1,[],Reduce (heat),B,1,,,
cooking,36,13,Reduce heat and let it simmer partially uncovered for 15 minutes or until the carrots and are soft and tender,Season with salt if necessary,"['Reduce', 'heat', 'and', 'let', 'it', 'simmer', 'partially', 'uncovered', 'for', '15', 'minutes', 'or', 'until', 'the', 'carrots', 'and', 'are', 'soft', 'and', 'tender']","['Season', 'with', 'salt', 'if', 'necessary']",10,"[[9], []]",1,[],simmer (it),B,0,pronoun resolution error,,
cooking,36,13,Reduce heat and let it simmer partially uncovered for 15 minutes or until the carrots and are soft and tender,Season with salt if necessary,"['Reduce', 'heat', 'and', 'let', 'it', 'simmer', 'partially', 'uncovered', 'for', '15', 'minutes', 'or', 'until', 'the', 'carrots', 'and', 'are', 'soft', 'and', 'tender']","['Season', 'with', 'salt', 'if', 'necessary']",12,"[[9], []]",1,[],uncovered (it),B,0,pronoun resolution error,,
cooking,36,14,Remove from heat and puree in a blender or food processor,Reduce heat and let it simmer partially uncovered for 15 minutes or until the carrots and are soft and tender,"['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']","['Reduce', 'heat', 'and', 'let', 'it', 'simmer', 'partially', 'uncovered', 'for', '15', 'minutes', 'or', 'until', 'the', 'carrots', 'and', 'are', 'soft', 'and', 'tender']",20,"[[-1], []]",1,[],Remove (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,14,Remove from heat and puree in a blender or food processor,Reduce heat and let it simmer partially uncovered for 15 minutes or until the carrots and are soft and tender,"['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']","['Reduce', 'heat', 'and', 'let', 'it', 'simmer', 'partially', 'uncovered', 'for', '15', 'minutes', 'or', 'until', 'the', 'carrots', 'and', 'are', 'soft', 'and', 'tender']",24,"[[-1], []]",1,[],puree (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,15,Put the soup back into the pot and bring to a boil again occasionally adding broth to adjust its thickness if necessary,Remove from heat and puree in a blender or food processor,"['Put', 'the', 'soup', 'back', 'into', 'the', 'pot', 'and', 'bring', 'to', 'a', 'boil', 'again', 'occasionally', 'adding', 'broth', 'to', 'adjust', 'its', 'thickness', 'if', 'necessary']","['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']",11,"[[13], []]",1,[],Put (soup),B,1,,,
cooking,36,15,Put the soup back into the pot and bring to a boil again occasionally adding broth to adjust its thickness if necessary,Remove from heat and puree in a blender or food processor,"['Put', 'the', 'soup', 'back', 'into', 'the', 'pot', 'and', 'bring', 'to', 'a', 'boil', 'again', 'occasionally', 'adding', 'broth', 'to', 'adjust', 'its', 'thickness', 'if', 'necessary']","['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']",19,"[[22], []]",1,[],bring (boil),B,2,wrong action,,
cooking,36,15,Put the soup back into the pot and bring to a boil again occasionally adding broth to adjust its thickness if necessary,Remove from heat and puree in a blender or food processor,"['Put', 'the', 'soup', 'back', 'into', 'the', 'pot', 'and', 'bring', 'to', 'a', 'boil', 'again', 'occasionally', 'adding', 'broth', 'to', 'adjust', 'its', 'thickness', 'if', 'necessary']","['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']",25,"[[26], []]",2,[],adding (broth),B,1,,,
cooking,36,15,Put the soup back into the pot and bring to a boil again occasionally adding broth to adjust its thickness if necessary,Remove from heat and puree in a blender or food processor,"['Put', 'the', 'soup', 'back', 'into', 'the', 'pot', 'and', 'bring', 'to', 'a', 'boil', 'again', 'occasionally', 'adding', 'broth', 'to', 'adjust', 'its', 'thickness', 'if', 'necessary']","['Remove', 'from', 'heat', 'and', 'puree', 'in', 'a', 'blender', 'or', 'food', 'processor']",28,"[[30], []]",2,[],adjust (thickness),B,1,,,
cooking,36,16,Best served while hot,Put the soup back into the pot and bring to a boil again occasionally adding broth to adjust its thickness if necessary,"['Best', 'served', 'while', 'hot']","['Put', 'the', 'soup', 'back', 'into', 'the', 'pot', 'and', 'bring', 'to', 'a', 'boil', 'again', 'occasionally', 'adding', 'broth', 'to', 'adjust', 'its', 'thickness', 'if', 'necessary']",23,"[[-1], []]",1,[],served (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,17,Garnish with toasted croutons or you can also add sour cream on top a pinch of nutmeg and orange juice to add variety in taste,Best served while hot,"['Garnish', 'with', 'toasted', 'croutons', 'or', 'you', 'can', 'also', 'add', 'sour', 'cream', 'on', 'top', 'a', 'pinch', 'of', 'nutmeg', 'and', 'orange', 'juice', 'to', 'add', 'variety', 'in', 'taste']","['Best', 'served', 'while', 'hot']",4,"[[-1], []]",3,[12],Garnish (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,36,17,Garnish with toasted croutons or you can also add sour cream on top a pinch of nutmeg and orange juice to add variety in taste,Best served while hot,"['Garnish', 'with', 'toasted', 'croutons', 'or', 'you', 'can', 'also', 'add', 'sour', 'cream', 'on', 'top', 'a', 'pinch', 'of', 'nutmeg', 'and', 'orange', 'juice', 'to', 'add', 'variety', 'in', 'taste']","['Best', 'served', 'while', 'hot']",12,"[[14], []]",3,[4],add (cream),B,1,,,
cooking,36,17,Garnish with toasted croutons or you can also add sour cream on top a pinch of nutmeg and orange juice to add variety in taste,Best served while hot,"['Garnish', 'with', 'toasted', 'croutons', 'or', 'you', 'can', 'also', 'add', 'sour', 'cream', 'on', 'top', 'a', 'pinch', 'of', 'nutmeg', 'and', 'orange', 'juice', 'to', 'add', 'variety', 'in', 'taste']","['Best', 'served', 'while', 'hot']",25,"[[28], []]",2,[],add (taste),B,1,,,
