dataset,doc_id,sent_id,this_sent,last_sent,this_sent_tokens,last_sent_tokens,act_idx,obj_idxs,act_type,related_acts,action_annotations,group,label_correctness
cooking,4,7,While it's cooking use the remaining tablespoon of syrup to sweeten the lemon juice,Pour your course batter into your lined pan and stick it into your oven to cook for 45 to 50 minutes or until golden brown,"['While', ""it's"", 'cooking', 'use', 'the', 'remaining', 'tablespoon', 'of', 'syrup', 'to', 'sweeten', 'the', 'lemon', 'juice']","['Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown']",35,"[[37, 38], []]",1,[],"sweeten (lemon,juice)",A,0
cooking,4,8,When it's cooked take it out of the oven slice them into squares while still in the pan,While it's cooking use the remaining tablespoon of syrup to sweeten the lemon juice,"['When', ""it's"", 'cooked', 'take', 'it', 'out', 'of', 'the', 'oven', 'slice', 'them', 'into', 'squares', 'while', 'still', 'in', 'the', 'pan']","['While', ""it's"", 'cooking', 'use', 'the', 'remaining', 'tablespoon', 'of', 'syrup', 'to', 'sweeten', 'the', 'lemon', 'juice']",17,"[[18], []]",1,[],take (it),A,0
cooking,4,8,When it's cooked take it out of the oven slice them into squares while still in the pan,While it's cooking use the remaining tablespoon of syrup to sweeten the lemon juice,"['When', ""it's"", 'cooked', 'take', 'it', 'out', 'of', 'the', 'oven', 'slice', 'them', 'into', 'squares', 'while', 'still', 'in', 'the', 'pan']","['While', ""it's"", 'cooking', 'use', 'the', 'remaining', 'tablespoon', 'of', 'syrup', 'to', 'sweeten', 'the', 'lemon', 'juice']",23,"[[24], []]",1,[],slice (them),A,0
cooking,4,9,More importantly add the lemon juice mixture while it's hot,When it's cooked take it out of the oven slice them into squares while still in the pan,"['More', 'importantly', 'add', 'the', 'lemon', 'juice', 'mixture', 'while', ""it's"", 'hot']","['When', ""it's"", 'cooked', 'take', 'it', 'out', 'of', 'the', 'oven', 'slice', 'them', 'into', 'squares', 'while', 'still', 'in', 'the', 'pan']",20,"[[22, 23, 24], []]",1,[],"add (lemon,juice,mixture)",A,0
cooking,10,0,How to make lasagne,,"['How', 'to', 'make', 'lasagne']",[],2,"[[3], []]",1,[],make (lasagne),A,0
cooking,10,1,Heat the saucepan,How to make lasagne,"['Heat', 'the', 'saucepan']","['How', 'to', 'make', 'lasagne']",4,"[[6], []]",1,[],Heat (saucepan),A,0
cooking,10,2,Add in the meat and cook it in its own fat until it is well browned,Heat the saucepan,"['Add', 'in', 'the', 'meat', 'and', 'cook', 'it', 'in', 'its', 'own', 'fat', 'until', 'it', 'is', 'well', 'browned']","['Heat', 'the', 'saucepan']",3,"[[6], []]",1,[],Add (meat),A,0
cooking,10,2,Add in the meat and cook it in its own fat until it is well browned,Heat the saucepan,"['Add', 'in', 'the', 'meat', 'and', 'cook', 'it', 'in', 'its', 'own', 'fat', 'until', 'it', 'is', 'well', 'browned']","['Heat', 'the', 'saucepan']",8,"[[6], []]",1,[],cook (meat),A,0
cooking,10,3,Drain most of the fat but not all we'd recommend you leave around 3 tablespoons of fat as this makes the dish tastier,Add in the meat and cook it in its own fat until it is well browned,"['Drain', 'most', 'of', 'the', 'fat', 'but', 'not', 'all', ""we'd"", 'recommend', 'you', 'leave', 'around', '3', 'tablespoons', 'of', 'fat', 'as', 'this', 'makes', 'the', 'dish', 'tastier']","['Add', 'in', 'the', 'meat', 'and', 'cook', 'it', 'in', 'its', 'own', 'fat', 'until', 'it', 'is', 'well', 'browned']",16,"[[20], []]",1,[],Drain (fat),A,0
cooking,10,3,Drain most of the fat but not all we'd recommend you leave around 3 tablespoons of fat as this makes the dish tastier,Add in the meat and cook it in its own fat until it is well browned,"['Drain', 'most', 'of', 'the', 'fat', 'but', 'not', 'all', ""we'd"", 'recommend', 'you', 'leave', 'around', '3', 'tablespoons', 'of', 'fat', 'as', 'this', 'makes', 'the', 'dish', 'tastier']","['Add', 'in', 'the', 'meat', 'and', 'cook', 'it', 'in', 'its', 'own', 'fat', 'until', 'it', 'is', 'well', 'browned']",27,"[[32], []]",1,[],leave (fat),A,0
cooking,10,4,Add in the onions garlic red pepper salt and pepper,Drain most of the fat but not all we'd recommend you leave around 3 tablespoons of fat as this makes the dish tastier,"['Add', 'in', 'the', 'onions', 'garlic', 'red', 'pepper', 'salt', 'and', 'pepper']","['Drain', 'most', 'of', 'the', 'fat', 'but', 'not', 'all', ""we'd"", 'recommend', 'you', 'leave', 'around', '3', 'tablespoons', 'of', 'fat', 'as', 'this', 'makes', 'the', 'dish', 'tastier']",23,"[[26, 27, 29, 30, 32], []]",1,[],"Add (onions,garlic,pepper,salt,pepper)",A,0
cooking,10,5,Stir the meat mixture for a few minutes over medium heat until the onions are soft and translucent,Add in the onions garlic red pepper salt and pepper,"['Stir', 'the', 'meat', 'mixture', 'for', 'a', 'few', 'minutes', 'over', 'medium', 'heat', 'until', 'the', 'onions', 'are', 'soft', 'and', 'translucent']","['Add', 'in', 'the', 'onions', 'garlic', 'red', 'pepper', 'salt', 'and', 'pepper']",10,"[[12, 13], []]",1,[],"Stir (meat,mixture)",A,0
cooking,10,6,Add a few pinches of oregano and one or two tablespoons of tomato paste depending on your own taste,Stir the meat mixture for a few minutes over medium heat until the onions are soft and translucent,"['Add', 'a', 'few', 'pinches', 'of', 'oregano', 'and', 'one', 'or', 'two', 'tablespoons', 'of', 'tomato', 'paste', 'depending', 'on', 'your', 'own', 'taste']","['Stir', 'the', 'meat', 'mixture', 'for', 'a', 'few', 'minutes', 'over', 'medium', 'heat', 'until', 'the', 'onions', 'are', 'soft', 'and', 'translucent']",18,"[[23, 30, 31], []]",1,[],"Add (oregano,tomato,paste)",A,0
cooking,10,7,If you want to play it safe it's best to add just one tablespoon,Add a few pinches of oregano and one or two tablespoons of tomato paste depending on your own taste,"['If', 'you', 'want', 'to', 'play', 'it', 'safe', ""it's"", 'best', 'to', 'add', 'just', 'one', 'tablespoon']","['Add', 'a', 'few', 'pinches', 'of', 'oregano', 'and', 'one', 'or', 'two', 'tablespoons', 'of', 'tomato', 'paste', 'depending', 'on', 'your', 'own', 'taste']",29,"[[12, 13], []]",2,[],"add (tomato,paste)",A,0
cooking,10,9,Stir in the canned tomatoes and allow the mixture to boil gently,Remember that too much tomato paste can make the mixture very sour,"['Stir', 'in', 'the', 'canned', 'tomatoes', 'and', 'allow', 'the', 'mixture', 'to', 'boil', 'gently']","['Remember', 'that', 'too', 'much', 'tomato', 'paste', 'can', 'make', 'the', 'mixture', 'very', 'sour']",12,"[[16], []]",1,[],Stir (tomatoes),A,0
cooking,10,9,Stir in the canned tomatoes and allow the mixture to boil gently,Remember that too much tomato paste can make the mixture very sour,"['Stir', 'in', 'the', 'canned', 'tomatoes', 'and', 'allow', 'the', 'mixture', 'to', 'boil', 'gently']","['Remember', 'that', 'too', 'much', 'tomato', 'paste', 'can', 'make', 'the', 'mixture', 'very', 'sour']",18,"[[20], []]",1,[],allow (mixture),A,0
cooking,10,10,Cover your pot and let everything simmer on low heat for 45 minutes,Stir in the canned tomatoes and allow the mixture to boil gently,"['Cover', 'your', 'pot', 'and', 'let', 'everything', 'simmer', 'on', 'low', 'heat', 'for', '45', 'minutes']","['Stir', 'in', 'the', 'canned', 'tomatoes', 'and', 'allow', 'the', 'mixture', 'to', 'boil', 'gently']",12,"[[14], []]",1,[],Cover (pot),A,0
cooking,10,10,Cover your pot and let everything simmer on low heat for 45 minutes,Stir in the canned tomatoes and allow the mixture to boil gently,"['Cover', 'your', 'pot', 'and', 'let', 'everything', 'simmer', 'on', 'low', 'heat', 'for', '45', 'minutes']","['Stir', 'in', 'the', 'canned', 'tomatoes', 'and', 'allow', 'the', 'mixture', 'to', 'boil', 'gently']",18,"[[17], []]",1,[],simmer (everything),A,0
cooking,10,11,Meanwhile place plenty of water in another pot,Cover your pot and let everything simmer on low heat for 45 minutes,"['Meanwhile', 'place', 'plenty', 'of', 'water', 'in', 'another', 'pot']","['Cover', 'your', 'pot', 'and', 'let', 'everything', 'simmer', 'on', 'low', 'heat', 'for', '45', 'minutes']",14,"[[17], []]",1,[],place (water),A,0
cooking,10,12,Cook the lasagne noodles according to package directions,Meanwhile place plenty of water in another pot,"['Cook', 'the', 'lasagne', 'noodles', 'according', 'to', 'package', 'directions']","['Meanwhile', 'place', 'plenty', 'of', 'water', 'in', 'another', 'pot']",8,"[[10, 11], []]",1,[],"Cook (lasagne,noodles)",A,0
cooking,10,14,When the noodles are done drain them well and separate the noodles from each other,The lasagne noodles must be soft or al dente but not soggy,"['When', 'the', 'noodles', 'are', 'done', 'drain', 'them', 'well', 'and', 'separate', 'the', 'noodles', 'from', 'each', 'other']","['The', 'lasagne', 'noodles', 'must', 'be', 'soft', 'or', 'al', 'dente', 'but', 'not', 'soggy']",17,"[[14], []]",1,[],drain (noodles),A,0
cooking,10,14,When the noodles are done drain them well and separate the noodles from each other,The lasagne noodles must be soft or al dente but not soggy,"['When', 'the', 'noodles', 'are', 'done', 'drain', 'them', 'well', 'and', 'separate', 'the', 'noodles', 'from', 'each', 'other']","['The', 'lasagne', 'noodles', 'must', 'be', 'soft', 'or', 'al', 'dente', 'but', 'not', 'soggy']",21,"[[23], []]",1,[],separate (noodles),A,0
cooking,10,16,Set the noodles aside,Otherwise they will tend to stick together and get torn,"['Set', 'the', 'noodles', 'aside']","['Otherwise', 'they', 'will', 'tend', 'to', 'stick', 'together', 'and', 'get', 'torn']",10,"[[12], []]",1,[],Set (noodles),A,0
cooking,10,17,When sauce mixture is done add the basil,Set the noodles aside,"['When', 'sauce', 'mixture', 'is', 'done', 'add', 'the', 'basil']","['Set', 'the', 'noodles', 'aside']",9,"[[11], []]",1,[],add (basil),A,0
cooking,10,18,Mix well and turn off the heat,When sauce mixture is done add the basil,"['Mix', 'well', 'and', 'turn', 'off', 'the', 'heat']","['When', 'sauce', 'mixture', 'is', 'done', 'add', 'the', 'basil']",8,"[[1, 2, 7], []]",1,[],"Mix (sauce,mixture,basil)",A,0
cooking,10,19,Preheat the oven to 400 degree F,Mix well and turn off the heat,"['Preheat', 'the', 'oven', 'to', '400', 'degree', 'F']","['Mix', 'well', 'and', 'turn', 'off', 'the', 'heat']",7,"[[9], []]",1,[],Preheat (oven),A,0
cooking,10,20,Place all the ingredients nearby for easier assembly,Preheat the oven to 400 degree F,"['Place', 'all', 'the', 'ingredients', 'nearby', 'for', 'easier', 'assembly']","['Preheat', 'the', 'oven', 'to', '400', 'degree', 'F']",7,"[[10], []]",1,[],Place (ingredients),A,0
cooking,10,21,Ladle just enough sauce to cover the bottom of the baking pan,Place all the ingredients nearby for easier assembly,"['Ladle', 'just', 'enough', 'sauce', 'to', 'cover', 'the', 'bottom', 'of', 'the', 'baking', 'pan']","['Place', 'all', 'the', 'ingredients', 'nearby', 'for', 'easier', 'assembly']",8,"[[11], []]",1,[],Ladle (sauce),A,0
cooking,10,22,Place four pieces of lasagne noodles on top of the sauce,Ladle just enough sauce to cover the bottom of the baking pan,"['Place', 'four', 'pieces', 'of', 'lasagne', 'noodles', 'on', 'top', 'of', 'the', 'sauce']","['Ladle', 'just', 'enough', 'sauce', 'to', 'cover', 'the', 'bottom', 'of', 'the', 'baking', 'pan']",12,"[[16, 17], []]",1,[],"Place (lasagne,noodles)",A,0
cooking,10,23,If the noodles get torn piece them together as much as possible,Place four pieces of lasagne noodles on top of the sauce,"['If', 'the', 'noodles', 'get', 'torn', 'piece', 'them', 'together', 'as', 'much', 'as', 'possible']","['Place', 'four', 'pieces', 'of', 'lasagne', 'noodles', 'on', 'top', 'of', 'the', 'sauce']",16,"[[13], []]",2,[],piece (noodles),A,0
cooking,10,24,Spread a thin layer each of ricotta mozzarella and parmesan cheeses on the noodles,If the noodles get torn piece them together as much as possible,"['Spread', 'a', 'thin', 'layer', 'each', 'of', 'ricotta', 'mozzarella', 'and', 'parmesan', 'cheeses', 'on', 'the', 'noodles']","['If', 'the', 'noodles', 'get', 'torn', 'piece', 'them', 'together', 'as', 'much', 'as', 'possible']",12,"[[18, 19, 21, 22], []]",1,[],"Spread (ricotta,mozzarella,parmesan,cheeses)",A,0
cooking,10,25,Ladle on more sauce and continue with the rest of the layers in the same order: sauce noodles and cheeses,Spread a thin layer each of ricotta mozzarella and parmesan cheeses on the noodles,"['Ladle', 'on', 'more', 'sauce', 'and', 'continue', 'with', 'the', 'rest', 'of', 'the', 'layers', 'in', 'the', 'same', 'order:', 'sauce', 'noodles', 'and', 'cheeses']","['Spread', 'a', 'thin', 'layer', 'each', 'of', 'ricotta', 'mozzarella', 'and', 'parmesan', 'cheeses', 'on', 'the', 'noodles']",14,"[[17], []]",1,[],Ladle (sauce),A,0
cooking,10,27,After the third layer spread a layer of ricotta cheese on top of your creation then pour on the rest of the sauce,You should have at least 3 layers of these items,"['After', 'the', 'third', 'layer', 'spread', 'a', 'layer', 'of', 'ricotta', 'cheese', 'on', 'top', 'of', 'your', 'creation', 'then', 'pour', 'on', 'the', 'rest', 'of', 'the', 'sauce']","['You', 'should', 'have', 'at', 'least', '3', 'layers', 'of', 'these', 'items']",14,"[[18, 19], []]",1,[],"spread (ricotta,cheese)",A,0
cooking,10,27,After the third layer spread a layer of ricotta cheese on top of your creation then pour on the rest of the sauce,You should have at least 3 layers of these items,"['After', 'the', 'third', 'layer', 'spread', 'a', 'layer', 'of', 'ricotta', 'cheese', 'on', 'top', 'of', 'your', 'creation', 'then', 'pour', 'on', 'the', 'rest', 'of', 'the', 'sauce']","['You', 'should', 'have', 'at', 'least', '3', 'layers', 'of', 'these', 'items']",26,"[[32], []]",1,[],pour (sauce),A,0
cooking,10,28,Finally top everything with all your remaining cheese,After the third layer spread a layer of ricotta cheese on top of your creation then pour on the rest of the sauce,"['Finally', 'top', 'everything', 'with', 'all', 'your', 'remaining', 'cheese']","['After', 'the', 'third', 'layer', 'spread', 'a', 'layer', 'of', 'ricotta', 'cheese', 'on', 'top', 'of', 'your', 'creation', 'then', 'pour', 'on', 'the', 'rest', 'of', 'the', 'sauce']",24,"[[25], []]",1,[],top (everything),A,0
cooking,10,29,Put your tray into the oven and bake for 40 minutes,Finally top everything with all your remaining cheese,"['Put', 'your', 'tray', 'into', 'the', 'oven', 'and', 'bake', 'for', '40', 'minutes']","['Finally', 'top', 'everything', 'with', 'all', 'your', 'remaining', 'cheese']",8,"[[10], []]",1,[],Put (tray),A,0
cooking,10,29,Put your tray into the oven and bake for 40 minutes,Finally top everything with all your remaining cheese,"['Put', 'your', 'tray', 'into', 'the', 'oven', 'and', 'bake', 'for', '40', 'minutes']","['Finally', 'top', 'everything', 'with', 'all', 'your', 'remaining', 'cheese']",15,"[[10], []]",1,[],bake (tray),A,0
cooking,42,0,In fact cooking a turkey requires very little effort or preparation,Not at all,"['In', 'fact', 'cooking', 'a', 'turkey', 'requires', 'very', 'little', 'effort', 'or', 'preparation']","['Not', 'at', 'all']",5,"[[7], []]",1,[],cooking (turkey),A,0
cooking,42,2,CookingTutorials.com demonstrates the quickest and most efficient to learn how to cook a turkey,In under 5 minutes a fresh turkey can go into the oven and be ready for that nights dinner,"['CookingTutorials.com', 'demonstrates', 'the', 'quickest', 'and', 'most', 'efficient', 'to', 'learn', 'how', 'to', 'cook', 'a', 'turkey']","['In', 'under', '5', 'minutes', 'a', 'fresh', 'turkey', 'can', 'go', 'into', 'the', 'oven', 'and', 'be', 'ready', 'for', 'that', 'nights', 'dinner']",30,"[[32], []]",1,[],cook (turkey),A,0
cooking,42,3,If you are using a frozen turkey allow it to thaw in its original plastic wrapper in the fridge,CookingTutorials.com demonstrates the quickest and most efficient to learn how to cook a turkey,"['If', 'you', 'are', 'using', 'a', 'frozen', 'turkey', 'allow', 'it', 'to', 'thaw', 'in', 'its', 'original', 'plastic', 'wrapper', 'in', 'the', 'fridge']","['CookingTutorials.com', 'demonstrates', 'the', 'quickest', 'and', 'most', 'efficient', 'to', 'learn', 'how', 'to', 'cook', 'a', 'turkey']",24,"[[20], []]",2,[],thaw (turkey),A,0
cooking,42,4,Allow for five hours per pound (500g) to ensure you've thoroughly cooked your turkey,If you are using a frozen turkey allow it to thaw in its original plastic wrapper in the fridge,"['Allow', 'for', 'five', 'hours', 'per', 'pound', '(500g)', 'to', 'ensure', ""you've"", 'thoroughly', 'cooked', 'your', 'turkey']","['If', 'you', 'are', 'using', 'a', 'frozen', 'turkey', 'allow', 'it', 'to', 'thaw', 'in', 'its', 'original', 'plastic', 'wrapper', 'in', 'the', 'fridge']",30,"[[32], []]",1,[],cooked (turkey),A,0
cooking,42,5,A quicker method to thaw the turkey is to cover the turkey with cold water ideally in the sink,Allow for five hours per pound (500g) to ensure you've thoroughly cooked your turkey,"['A', 'quicker', 'method', 'to', 'thaw', 'the', 'turkey', 'is', 'to', 'cover', 'the', 'turkey', 'with', 'cold', 'water', 'ideally', 'in', 'the', 'sink']","['Allow', 'for', 'five', 'hours', 'per', 'pound', '(500g)', 'to', 'ensure', ""you've"", 'thoroughly', 'cooked', 'your', 'turkey']",18,"[[20], []]",1,[],thaw (turkey),A,0
cooking,42,5,A quicker method to thaw the turkey is to cover the turkey with cold water ideally in the sink,Allow for five hours per pound (500g) to ensure you've thoroughly cooked your turkey,"['A', 'quicker', 'method', 'to', 'thaw', 'the', 'turkey', 'is', 'to', 'cover', 'the', 'turkey', 'with', 'cold', 'water', 'ideally', 'in', 'the', 'sink']","['Allow', 'for', 'five', 'hours', 'per', 'pound', '(500g)', 'to', 'ensure', ""you've"", 'thoroughly', 'cooked', 'your', 'turkey']",23,"[[25], []]",1,[],cover (turkey),A,0
cooking,42,6,Every 30 minutes you will need to change the water with fresh cold water,A quicker method to thaw the turkey is to cover the turkey with cold water ideally in the sink,"['Every', '30', 'minutes', 'you', 'will', 'need', 'to', 'change', 'the', 'water', 'with', 'fresh', 'cold', 'water']","['A', 'quicker', 'method', 'to', 'thaw', 'the', 'turkey', 'is', 'to', 'cover', 'the', 'turkey', 'with', 'cold', 'water', 'ideally', 'in', 'the', 'sink']",26,"[[28], []]",1,[],change (water),A,0
cooking,42,8,Prepare the turkey by removing giblets and neck,Allow one hour per pound,"['Prepare', 'the', 'turkey', 'by', 'removing', 'giblets', 'and', 'neck']","['Allow', 'one', 'hour', 'per', 'pound']",5,"[[7], []]",1,[],Prepare (turkey),A,0
cooking,42,8,Prepare the turkey by removing giblets and neck,Allow one hour per pound,"['Prepare', 'the', 'turkey', 'by', 'removing', 'giblets', 'and', 'neck']","['Allow', 'one', 'hour', 'per', 'pound']",9,"[[10, 12], []]",1,[],"removing (giblets,neck)",A,0
cooking,42,9,Rinse and wipe the cavity sprinkle with salt and pepper or stuff lightly,Prepare the turkey by removing giblets and neck,"['Rinse', 'and', 'wipe', 'the', 'cavity', 'sprinkle', 'with', 'salt', 'and', 'pepper', 'or', 'stuff', 'lightly']","['Prepare', 'the', 'turkey', 'by', 'removing', 'giblets', 'and', 'neck']",8,"[[12], []]",1,[],Rinse (cavity),A,0
cooking,42,9,Rinse and wipe the cavity sprinkle with salt and pepper or stuff lightly,Prepare the turkey by removing giblets and neck,"['Rinse', 'and', 'wipe', 'the', 'cavity', 'sprinkle', 'with', 'salt', 'and', 'pepper', 'or', 'stuff', 'lightly']","['Prepare', 'the', 'turkey', 'by', 'removing', 'giblets', 'and', 'neck']",10,"[[12], []]",1,[],wipe (cavity),A,0
cooking,42,9,Rinse and wipe the cavity sprinkle with salt and pepper or stuff lightly,Prepare the turkey by removing giblets and neck,"['Rinse', 'and', 'wipe', 'the', 'cavity', 'sprinkle', 'with', 'salt', 'and', 'pepper', 'or', 'stuff', 'lightly']","['Prepare', 'the', 'turkey', 'by', 'removing', 'giblets', 'and', 'neck']",13,"[[15, 17, 19], []]",1,[],"sprinkle (salt,pepper,stuff)",A,0
cooking,42,10,If you decide to stuff the turkey make sure you fasten the skin over the cavity with skewers,Rinse and wipe the cavity sprinkle with salt and pepper or stuff lightly,"['If', 'you', 'decide', 'to', 'stuff', 'the', 'turkey', 'make', 'sure', 'you', 'fasten', 'the', 'skin', 'over', 'the', 'cavity', 'with', 'skewers']","['Rinse', 'and', 'wipe', 'the', 'cavity', 'sprinkle', 'with', 'salt', 'and', 'pepper', 'or', 'stuff', 'lightly']",17,"[[19], []]",2,[],stuff (turkey),A,0
cooking,42,10,If you decide to stuff the turkey make sure you fasten the skin over the cavity with skewers,Rinse and wipe the cavity sprinkle with salt and pepper or stuff lightly,"['If', 'you', 'decide', 'to', 'stuff', 'the', 'turkey', 'make', 'sure', 'you', 'fasten', 'the', 'skin', 'over', 'the', 'cavity', 'with', 'skewers']","['Rinse', 'and', 'wipe', 'the', 'cavity', 'sprinkle', 'with', 'salt', 'and', 'pepper', 'or', 'stuff', 'lightly']",23,"[[25], []]",2,[],fasten (skin),A,0
